time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-08-31 20:00:00,4.25516,4.2621,4.2509,4.25884,18345,380,0,2025-08-31,Sunday
2025-09-01 20:00:00,4.25251,4.2661,4.25251,4.25797,24660,330,0,2025-09-01,Monday
2025-09-02 20:00:00,4.25596,4.2622,4.2482,4.24895,14423,355,0,2025-09-02,Tuesday
2025-09-03 20:00:00,4.24831,4.257,4.2444,4.24702,16397,380,0,2025-09-03,Wednesday
2025-09-04 20:00:00,4.24434,4.2527,4.2433,4.24554,14148,380,0,2025-09-04,Thursday
2025-09-07 20:00:00,4.24871,4.2521,4.24279,4.24322,16624,380,0,2025-09-07,Sunday
2025-09-08 20:00:00,4.23828,4.2551,4.23828,4.24424,16291,380,0,2025-09-08,Monday
2025-09-09 20:00:00,4.24332,4.266,4.24181,4.26027,20257,240,0,2025-09-09,Tuesday
2025-09-10 20:00:00,4.25507,4.26702,4.25198,4.25238,17086,240,0,2025-09-10,Wednesday
2025-09-11 20:00:00,4.2513,4.25931,4.24902,4.2513,15250,240,0,2025-09-11,Thursday
2025-09-14 20:00:00,4.2431,4.25567,4.24077,4.24638,15339,240,0,2025-09-14,Sunday
2025-09-15 20:00:00,4.24565,4.25412,4.24268,4.2477,20451,240,0,2025-09-15,Monday
2025-09-16 20:00:00,4.24598,4.25503,4.24564,4.25168,23896,240,0,2025-09-16,Tuesday
2025-09-17 20:00:00,4.24808,4.26342,4.24525,4.25868,28956,240,0,2025-09-17,Wednesday
2025-09-18 20:00:00,4.2550799999999995,4.26722,4.25485,4.2592,21509,240,0,2025-09-18,Thursday
2025-09-21 20:00:00,4.25061,4.26496,4.2495,4.25338,16423,240,0,2025-09-21,Sunday
2025-09-22 20:00:00,4.24708,4.25914,4.24685,4.25618,17470,240,0,2025-09-22,Monday
2025-09-23 20:00:00,4.25558,4.2693200000000004,4.25445,4.26308,14674,240,0,2025-09-23,Tuesday
2025-09-24 20:00:00,4.26255,4.27362,4.2571200000000005,4.2701,24738,240,0,2025-09-24,Wednesday
2025-09-25 20:00:00,4.26755,4.2722999999999995,4.2620000000000005,4.2637,15750,240,0,2025-09-25,Thursday
2025-09-28 20:00:00,4.26457,4.27032,4.26175,4.2663,23348,240,0,2025-09-28,Sunday
2025-09-29 20:00:00,4.26475,4.27261,4.26012,4.26448,20136,240,0,2025-09-29,Monday
2025-09-30 20:00:00,4.26085,4.26682,4.25322,4.25898,19882,240,0,2025-09-30,Tuesday
2025-10-01 20:00:00,4.25648,4.26302,4.25242,4.25602,17042,240,0,2025-10-01,Wednesday
2025-10-02 20:00:00,4.2546800000000005,4.2583,4.24936,4.2499,16341,240,0,2025-10-02,Thursday
2025-10-05 20:00:00,4.24385,4.25502,4.24385,4.25098,20943,240,0,2025-10-05,Sunday
2025-10-06 20:00:00,4.24865,4.25872,4.24829,4.25028,17798,240,0,2025-10-06,Monday
